timestamp(unix),attitude_roll(radians),attitude_pitch(radians),attitude_yaw(radians),rotation_rate_x(radians/s),rotation_rate_y(radians/s),rotation_rate_z(radians/s),gravity_x(G),gravity_y(G),gravity_z(G),user_acc_x(G),user_acc_y(G),user_acc_z(G),magnetic_field_x(microteslas),magnetic_field_y(microteslas),magnetic_field_z(microteslas),latitude(degree),longitude(degree),altitude(meter),speed(m/s),course(degree),timestamp(unix),User Mark
1508446972.334363,0.397513,1.289562,2.538113,0.296607,-0.441385,-0.105100,0.107444,-0.960714,-0.255901,0.040658,0.039983,0.029278,9.724274,-31.524467,-7.592448,,,,,,,5
,,,,,,,,,,,,,,,,42.293130,-71.264184,60.388348,-1.000000,-1.000000,1508446970.541918,5
,,,,,,,,,,,,,,,,42.293288,-71.264176,60.388348,-1.000000,-1.000000,1508446942.869615,5
,,,,,,,,,,,,,,,,42.293130,-71.264184,60.388348,-1.000000,-1.000000,1508446970.541918,5
1508446972.354375,0.395607,1.292465,2.533353,0.039631,-0.219761,0.044140,0.105881,-0.961515,-0.253531,0.112274,-0.023897,0.026556,9.740160,-31.546223,-7.480898,,,,,,,5
1508446972.374272,0.409200,1.293963,2.513870,0.146264,-0.412212,0.011861,0.108744,-0.961926,-0.250746,0.089636,0.048123,0.054304,9.827115,-31.532545,-7.424635,,,,,,,5
1508446972.394285,0.406996,1.297890,2.502245,0.298929,-0.824876,-0.102184,0.106695,-0.962991,-0.247515,-0.034795,0.042017,0.079912,9.809938,-31.538559,-7.421809,,,,,,,5
1508446972.414290,0.403797,1.303241,2.486383,0.322365,-0.937406,-0.076521,0.103876,-0.964420,-0.243113,-0.080469,0.015079,0.105616,9.716692,-31.576397,-7.383489,,,,,,,5
1508446972.434312,0.399900,1.307591,2.473024,0.232850,-0.768430,-0.080337,0.101294,-0.965561,-0.239649,-0.025366,-0.026901,0.102946,9.612669,-31.613008,-7.362956,,,,,,,5
,,,,,,,,,,,,,,,,42.292949,-71.264194,60.388348,-1.000000,-1.000000,1508446972.404171,5
1508446972.454341,0.399010,1.311081,2.459239,0.244572,-0.696290,-0.106805,0.099771,-0.966463,-0.236633,-0.030313,-0.036161,0.101867,9.572168,-31.625555,-7.361842,,,,,,,5
,,,,,,,,,,,,,,,,42.292902,-71.264174,60.388348,-1.000000,-1.000000,1508446972.425788,5
1508446972.474347,0.401773,1.315260,2.441626,0.290416,-0.719781,-0.134127,0.098844,-0.967528,-0.232637,0.012728,-0.012804,0.046357,9.539227,-31.641592,-7.335636,,,,,,,5
,,,,,,,,,,,,,,,,42.292855,-71.264154,60.388348,-1.000000,-1.000000,1508446972.445502,5
,,,,,,,,,,,,,,,,42.292809,-71.264134,60.388348,-1.000000,-1.000000,1508446972.465059,5
1508446972.494363,0.406283,1.319404,2.421926,0.296837,-0.736829,-0.147929,0.098306,-0.968567,-0.228503,0.030112,0.043472,-0.018460,9.517461,-31.660751,-7.281044,,,,,,,5
1508446972.514377,0.413649,1.325130,2.397672,0.448141,-0.870849,-0.172335,0.097756,-0.969975,-0.222691,0.022956,0.064687,-0.054576,9.506529,-31.674652,-7.234714,,,,,,,5
1508446972.534388,0.426110,1.333627,2.364720,0.585601,-1.019714,-0.191543,0.097113,-0.972007,-0.213942,0.022379,0.058326,-0.115144,9.489102,-31.708984,-7.106067,,,,,,,5
1508446972.554401,0.440439,1.341940,2.329692,0.494002,-0.947437,-0.194374,0.096720,-0.973927,-0.205213,0.034216,0.059361,-0.173923,9.464982,-31.763447,-6.891758,,,,,,,5
1508446972.574414,0.456010,1.346138,2.295867,0.269467,-0.814913,-0.304731,0.098102,-0.974870,-0.200010,0.072598,0.045641,-0.233996,9.470970,-31.778645,-6.813020,,,,,,,5
1508446972.594423,0.481640,1.345615,2.254664,0.148349,-0.693328,-0.489840,0.103432,-0.974754,-0.197882,0.170799,0.007591,-0.260813,9.533741,-31.762880,-6.798971,,,,,,,5
1508446972.614438,0.515569,1.343246,2.205324,0.194254,-0.728617,-0.549113,0.111224,-0.974222,-0.196268,0.247053,-0.028952,-0.281104,9.858436,-31.652161,-6.852056,,,,,,,5
1508446972.634447,0.548835,1.343317,2.154506,0.352801,-0.873893,-0.449958,0.117654,-0.974238,-0.192400,0.212028,-0.022008,-0.274198,9.920362,-31.631660,-6.857352,,,,,,,5
,,,,,,,,,,,,,,,,42.293306,-71.264181,60.108429,-1.000000,-1.000000,1508446972.630746,5
1508446972.654433,0.575169,1.345662,2.106764,0.378319,-1.105192,-0.363678,0.121436,-0.974764,-0.187318,0.132623,0.025195,-0.265685,10.184815,-31.557959,-6.809078,,,,,,,5
1508446972.674473,0.589671,1.347067,2.064713,0.276264,-1.474781,-0.349893,0.123378,-0.975077,-0.184399,0.140340,0.074503,-0.226627,10.265573,-31.525709,-6.837132,,,,,,,5
1508446972.694484,0.588241,1.347097,2.029671,0.188037,-1.965334,-0.293496,0.123098,-0.975084,-0.184551,0.214366,0.116410,-0.158970,10.270185,-31.517208,-6.869319,,,,,,,5
1508446972.714496,0.569560,1.347088,2.002254,0.159443,-2.458056,-0.240868,0.119634,-0.975082,-0.186826,0.263469,0.186431,-0.074862,10.154146,-31.466745,-7.261958,,,,,,,5
1508446972.734512,0.541969,1.346955,1.973893,0.157650,-2.921442,-0.300859,0.114501,-0.975052,-0.190167,0.298371,0.188492,0.085781,9.868038,-31.433388,-7.782207,,,,,,,5
1508446972.754520,0.514627,1.345880,1.939646,0.136564,-3.054506,-0.382054,0.109775,-0.974813,-0.194138,0.311276,0.168767,0.126755,9.596819,-31.392235,-8.272084,,,,,,,5
1508446972.774519,0.489823,1.344164,1.904986,0.097027,-2.816478,-0.369423,0.105713,-0.974429,-0.198276,0.309448,0.125201,0.184314,9.395589,-31.353296,-8.642490,,,,,,,5
1508446972.794545,0.466241,1.342736,1.875694,0.097820,-2.521962,-0.297856,0.101634,-0.974107,-0.201957,0.158147,0.086518,0.175681,9.062984,-31.292725,-9.199264,,,,,,,5
1508446972.814556,0.444184,1.343614,1.846108,0.262856,-2.577237,-0.282694,0.096787,-0.974305,-0.203377,0.107528,0.082673,0.185066,8.844164,-31.271721,-9.479395,,,,,,,5
1508446972.834547,0.430876,1.349077,1.805874,0.543990,-2.639019,-0.287873,0.091848,-0.975521,-0.199807,-0.009404,0.060970,0.179895,8.844164,-31.271721,-9.479395,,,,,,,5
1508446972.854567,0.424626,1.359583,1.758677,0.754657,-2.593190,-0.213697,0.086370,-0.977777,-0.191028,-0.102514,0.031153,0.035358,8.844164,-31.271721,-9.479395,,,,,,,5
1508446972.874592,0.421039,1.372904,1.711056,0.826853,-2.425135,-0.143766,0.080354,-0.980483,-0.179433,-0.114091,0.017592,-0.060008,8.844164,-31.271721,-9.479395,,,,,,,5
1508446972.894576,0.427749,1.387829,1.661057,0.907464,-1.886493,-0.120333,0.075477,-0.983308,-0.165555,-0.142554,-0.005690,-0.118930,8.844164,-31.271721,-9.479395,,,,,,,5
1508446972.914601,0.453747,1.403591,1.605478,0.898523,-1.169286,-0.083663,0.072951,-0.986054,-0.149587,-0.231139,-0.073883,-0.060817,8.844164,-31.271721,-9.479395,,,,,,,5
1508446972.934628,0.485130,1.417412,1.559973,0.704103,-0.337999,0.042065,0.071247,-0.988260,-0.135155,-0.307331,-0.109397,-0.068138,8.844164,-31.271721,-9.479395,,,,,,,5
1508446972.954634,0.526720,1.430987,1.525785,0.763007,0.804280,0.128595,0.070053,-0.990243,-0.120466,-0.327240,-0.084953,0.005445,8.844164,-31.271721,-9.479395,,,,,,,5
1508446972.974653,0.607844,1.446198,1.467613,0.875773,1.276680,0.048962,0.070974,-0.992248,-0.102016,-0.261236,0.130446,0.216503,8.844164,-31.271721,-9.479395,,,,,,,5
1508446972.994644,0.716569,1.458870,1.381906,0.728042,1.077762,-0.048235,0.073360,-0.993743,-0.084223,-0.128963,0.258117,0.333293,8.844164,-31.271721,-9.479395,,,,,,,5
1508446973.014662,0.818625,1.463241,1.299836,0.298257,1.031611,-0.247730,0.078386,-0.994222,-0.073343,0.234572,0.186391,0.168451,8.844164,-31.271721,-9.479395,,,,,,,5
1508446973.034688,0.891243,1.463289,1.243000,0.313142,0.512685,-0.087223,0.083464,-0.994227,-0.067433,0.561586,-0.003530,0.021443,8.844164,-31.271721,-9.479395,,,,,,,5
1508446973.054674,0.994422,1.478479,1.131253,1.358383,-0.988883,0.536756,0.077293,-0.995742,-0.050241,0.701500,-0.082353,-0.036078,8.844164,-31.271721,-9.479395,,,,,,,5
1508446973.074710,1.426738,1.512760,0.657335,2.710361,-2.661659,1.157814,0.057403,-0.998316,-0.008327,0.513138,0.044901,-0.006367,8.844164,-31.271721,-9.479395,,,,,,,5
