timestamp(unix),attitude_roll(radians),attitude_pitch(radians),attitude_yaw(radians),rotation_rate_x(radians/s),rotation_rate_y(radians/s),rotation_rate_z(radians/s),gravity_x(G),gravity_y(G),gravity_z(G),user_acc_x(G),user_acc_y(G),user_acc_z(G),magnetic_field_x(microteslas),magnetic_field_y(microteslas),magnetic_field_z(microteslas),latitude(degree),longitude(degree),altitude(meter),speed(m/s),course(degree),timestamp(unix),User Mark
1508446628.574863,0.029068,0.047503,0.013217,-0.033026,0.028658,0.060776,0.029031,-0.047485,-0.998450,-0.042947,0.116211,0.083045,-6.733578,-14.486195,-43.348560,,,,,,,5
1508446628.594864,0.028389,0.049772,0.013294,0.136421,-0.041779,-0.006023,0.028351,-0.049751,-0.998359,-0.001800,0.015480,0.000068,-6.743700,-14.513323,-43.337910,,,,,,,5
1508446628.614880,0.028494,0.051358,0.013042,0.022487,-0.005620,-0.012259,0.028452,-0.051335,-0.998276,0.011373,-0.010753,-0.026214,-6.767310,-14.599125,-43.305397,,,,,,,5
,,,,,,,,,,,,,,,,42.293442,-71.264337,58.765549,-1.000000,-1.000000,1508446625.666613,5
1508446628.634890,0.028279,0.051167,0.012994,-0.014803,-0.011919,0.003399,0.028238,-0.051144,-0.998292,-0.001977,-0.018497,0.013673,-6.761906,-14.640036,-43.292427,,,,,,,5
,,,,,,,,,,,,,,,,42.293368,-71.264132,58.765549,-1.000000,-1.000000,1508446600.200524,5
1508446628.654892,0.028209,0.051028,0.013131,-0.003100,0.001889,0.004571,0.028168,-0.051006,-0.998301,0.006332,-0.001423,0.015818,-6.769488,-14.630493,-43.294468,,,,,,,5
,,,,,,,,,,,,,,,,42.293442,-71.264337,58.765549,-1.000000,-1.000000,1508446625.666613,5
1508446628.674910,0.028647,0.051092,0.012996,0.005443,0.011387,-0.012387,0.028606,-0.051070,-0.998285,0.008153,0.000075,0.012552,-6.768189,-14.629410,-43.295036,,,,,,,5
1508446628.694922,0.029051,0.051240,0.012659,0.005443,0.025183,-0.016636,0.029009,-0.051217,-0.998266,-0.004503,-0.006614,0.009497,-6.733843,-14.640785,-43.296547,,,,,,,5
1508446628.714951,0.029840,0.051160,0.012401,-0.010487,0.046610,-0.011400,0.029797,-0.051137,-0.998247,-0.004345,-0.009074,-0.002241,-6.700702,-14.643032,-43.300930,,,,,,,5
1508446628.734942,0.030930,0.051017,0.012221,-0.016883,0.055119,-0.009317,0.030885,-0.050994,-0.998221,0.007262,-0.005066,-0.015222,-6.677306,-14.638754,-43.305988,,,,,,,5
,,,,,,,,,,,,,,,,42.293646,-71.264906,58.765549,-1.000000,-1.000000,1508446628.731012,5
1508446628.754958,0.031660,0.050625,0.012030,-0.018991,0.020056,-0.011490,0.031614,-0.050603,-0.998218,0.007967,0.008596,0.000065,-6.611298,-14.624788,-43.320831,,,,,,,5
1508446628.774982,0.031724,0.050025,0.011750,0.001266,-0.022461,-0.015614,0.031679,-0.050004,-0.998246,0.002394,0.007386,0.014406,-6.599583,-14.605252,-43.329212,,,,,,,5
1508446628.794995,0.031355,0.050415,0.011394,0.028949,-0.015046,-0.017510,0.031310,-0.050394,-0.998239,0.001160,0.002008,0.016763,-6.604159,-14.600561,-43.330093,,,,,,,5
,,,,,,,,,,,,,,,,42.293704,-71.265071,58.765549,-1.000000,-1.000000,1508446628.743381,5
,,,,,,,,,,,,,,,,42.293749,-71.265201,58.765549,-1.000000,-1.000000,1508446628.767925,5
,,,,,,,,,,,,,,,,42.293785,-71.265304,58.765549,-1.000000,-1.000000,1508446628.778073,5
1508446628.814990,0.031018,0.051515,0.011092,0.022554,-0.009720,-0.014364,0.030972,-0.051492,-0.998193,-0.005993,-0.013266,0.000604,-6.617609,-14.646984,-43.312370,,,,,,,5
1508446628.835014,0.030231,0.052152,0.010888,-0.001933,-0.028812,-0.009257,0.030185,-0.052128,-0.998184,-0.004901,-0.006343,0.001541,-6.642750,-14.688387,-43.294498,,,,,,,5
1508446628.855005,0.029821,0.052164,0.010741,-0.003013,-0.003308,-0.007117,0.029776,-0.052140,-0.998196,-0.000250,0.001069,0.009731,-6.660156,-14.695313,-43.289471,,,,,,,5
1508446628.875009,0.030260,0.052097,0.010603,0.003423,0.032971,-0.008067,0.030215,-0.052074,-0.998186,0.001447,0.001811,0.010454,-6.659675,-14.696229,-43.289234,,,,,,,5
1508446628.895047,0.030983,0.052171,0.010329,0.000244,0.032944,-0.016611,0.030936,-0.052147,-0.998160,-0.000968,-0.000984,0.005301,-6.649676,-14.695829,-43.290905,,,,,,,5
