timestamp(unix),attitude_roll(radians),attitude_pitch(radians),attitude_yaw(radians),rotation_rate_x(radians/s),rotation_rate_y(radians/s),rotation_rate_z(radians/s),gravity_x(G),gravity_y(G),gravity_z(G),user_acc_x(G),user_acc_y(G),user_acc_z(G),magnetic_field_x(microteslas),magnetic_field_y(microteslas),magnetic_field_z(microteslas),latitude(degree),longitude(degree),altitude(meter),speed(m/s),course(degree),timestamp(unix),User Mark
1508446942.522094,-0.169072,1.350705,1.217459,0.110941,-0.281031,0.038041,-0.036736,-0.975878,-0.215206,0.047997,-0.032194,-0.043507,-23.479143,-28.318613,-8.626144,,,,,,,5
1508446942.542107,-0.154803,1.354035,1.200493,-0.000818,-0.111233,-0.029843,-0.033160,-0.976599,-0.212496,0.101428,-0.064966,0.019808,-23.542181,-28.323437,-8.436415,,,,,,,5
,,,,,,,,,,,,,,,,42.293211,-71.264197,60.282120,-1.000000,-1.000000,1508446939.144777,5
1508446942.562117,-0.149244,1.351750,1.190013,-0.196476,-0.333447,-0.112547,-0.032310,-0.976105,-0.214884,0.118156,0.005219,0.117822,-23.405807,-28.452681,-8.380783,,,,,,,5
,,,,,,,,,,,,,,,,42.293313,-71.264177,60.282120,-1.000000,-1.000000,1508446927.131887,5
1508446942.582119,-0.152280,1.347091,1.184671,-0.250990,-0.444427,0.040243,-0.033652,-0.975082,-0.219277,0.080069,0.045837,0.102181,-23.405807,-28.452681,-8.380783,,,,,,,5
,,,,,,,,,,,,,,,,42.293211,-71.264197,60.282120,-1.000000,-1.000000,1508446939.144777,5
1508446942.602122,-0.165913,1.341894,1.188318,-0.242484,-0.549472,0.077499,-0.037475,-0.973916,-0.223793,-0.050569,0.068414,0.046104,-23.489065,-28.409519,-8.293818,,,,,,,5
1508446942.622154,-0.179626,1.337391,1.188165,-0.206038,-0.798319,0.008404,-0.041323,-0.972884,-0.227570,-0.048063,-0.000916,0.042756,-23.689213,-28.304541,-8.080757,,,,,,,5
1508446942.642150,-0.191105,1.333772,1.181280,-0.209009,-0.936726,-0.079034,-0.044601,-0.972041,-0.230537,0.001434,-0.026555,0.045463,-23.755268,-28.288563,-7.941586,,,,,,,5
1508446942.662180,-0.196193,1.329651,1.167786,-0.246213,-0.874216,-0.132532,-0.046554,-0.971065,-0.234234,0.031707,-0.038670,0.097103,-23.896761,-28.300730,-7.459075,,,,,,,5
1508446942.682189,-0.195668,1.325492,1.150568,-0.234459,-0.778790,-0.183470,-0.047216,-0.970063,-0.238218,0.025396,-0.026839,0.118039,-23.928858,-28.325077,-7.261136,,,,,,,5
,,,,,,,,,,,,,,,,42.293139,-71.264216,60.282120,-1.000000,-1.000000,1508446942.654097,5
1508446942.702185,-0.190913,1.322917,1.129730,-0.196019,-0.779025,-0.244908,-0.046556,-0.969435,-0.240891,0.021166,-0.006914,0.145996,-23.935503,-28.365376,-7.079660,,,,,,,5
,,,,,,,,,,,,,,,,42.293133,-71.264223,60.282120,-1.000000,-1.000000,1508446942.662438,5
1508446942.722208,-0.181999,1.319645,1.104005,-0.245953,-0.802565,-0.300705,-0.044981,-0.968627,-0.244415,0.112456,-0.037049,0.101791,-23.880013,-28.510212,-6.673624,,,,,,,5
,,,,,,,,,,,,,,,,42.293127,-71.264229,60.282120,-1.000000,-1.000000,1508446942.674061,5
,,,,,,,,,,,,,,,,42.293121,-71.264236,60.282120,-1.000000,-1.000000,1508446942.689419,5
1508446942.742224,-0.168352,1.314874,1.073603,-0.334229,-0.782549,-0.362109,-0.042415,-0.967430,-0.249559,0.163921,-0.069847,0.062684,-23.825445,-28.595127,-6.503168,,,,,,,5
1508446942.762211,-0.145268,1.309082,1.033734,-0.376548,-0.758660,-0.524281,-0.037454,-0.965948,-0.256011,0.304819,-0.200602,-0.087296,-23.706316,-28.733471,-6.326347,,,,,,,5
1508446942.782236,-0.112575,1.303091,0.984072,-0.375269,-0.791988,-0.637159,-0.029715,-0.964381,-0.262844,0.300284,-0.198599,-0.163578,-23.421543,-29.003212,-6.153808,,,,,,,5
1508446942.802260,-0.080875,1.297301,0.931187,-0.353707,-1.093933,-0.703223,-0.021820,-0.962833,-0.269216,0.307267,-0.175000,-0.164622,-23.144976,-29.266317,-5.951238,,,,,,,5
1508446942.822250,-0.052436,1.289750,0.874034,-0.493928,-1.445789,-0.788761,-0.014537,-0.960766,-0.276980,0.335262,-0.154835,-0.156949,-23.002911,-29.409567,-5.793788,,,,,,,5
1508446942.842285,-0.024085,1.277697,0.811443,-0.721452,-1.663894,-0.916444,-0.006958,-0.957353,-0.288837,0.480881,0.092714,-0.110486,-22.529343,-29.872313,-5.262894,,,,,,,5
1508446942.862281,0.006016,1.261706,0.742009,-0.822193,-1.887526,-1.086739,0.001830,-0.952611,-0.304187,0.476716,0.218739,-0.051496,-22.231478,-30.134560,-5.029317,,,,,,,5
1508446942.882307,0.035095,1.247090,0.669373,-0.603704,-2.074856,-1.156415,0.011161,-0.948063,-0.317887,0.423547,0.418110,0.063324,-21.749140,-30.540838,-4.675090,,,,,,,5
,,,,,,,,,,,,,,,,42.293288,-71.264176,60.388348,-1.000000,-1.000000,1508446942.869615,5
1508446942.902321,0.051674,1.237335,0.603464,-0.357821,-2.433548,-1.011981,0.016906,-0.944915,-0.326879,0.268632,0.369827,0.132482,-21.114185,-31.086504,-3.929996,,,,,,,5
1508446942.922332,0.049708,1.230866,0.550402,-0.237701,-2.655025,-0.836539,0.016567,-0.942778,-0.333010,0.019978,0.159102,0.107195,-20.801350,-31.370405,-3.290284,,,,,,,5
1508446942.942326,0.056860,1.227965,0.492098,0.069730,-2.055007,-0.847389,0.019103,-0.941807,-0.335612,-0.281661,-0.017666,0.353251,-20.761557,-31.320448,-4.401819,,,,,,,5
1508446942.962356,0.062769,1.234808,0.452549,0.481014,-1.402060,-0.592221,0.020681,-0.944085,-0.329053,-0.417959,-0.089240,0.444257,-20.334692,-31.734602,-3.286948,,,,,,,5
1508446942.982367,0.071672,1.238084,0.411415,-0.041374,-1.584065,-0.770224,0.023389,-0.945160,-0.325769,-0.186078,0.039200,0.228036,-20.024948,-32.003391,-2.484553,,,,,,,5
1508446943.002380,0.097232,1.228777,0.353138,-0.521103,-1.382052,-1.097713,0.032559,-0.942079,-0.333806,0.024493,0.110384,0.141728,-20.024948,-32.003391,-2.484553,,,,,,,5
1508446943.022379,0.125616,1.217927,0.292412,-0.270888,-1.562598,-1.045741,0.043298,-0.938385,-0.342869,0.316016,0.218140,-0.092358,-19.170500,-32.558403,-1.957261,,,,,,,5
