timestamp(unix),attitude_roll(radians),attitude_pitch(radians),attitude_yaw(radians),rotation_rate_x(radians/s),rotation_rate_y(radians/s),rotation_rate_z(radians/s),gravity_x(G),gravity_y(G),gravity_z(G),user_acc_x(G),user_acc_y(G),user_acc_z(G),magnetic_field_x(microteslas),magnetic_field_y(microteslas),magnetic_field_z(microteslas),latitude(degree),longitude(degree),altitude(meter),speed(m/s),course(degree),timestamp(unix),User Mark
1508446557.781778,0.023883,0.043996,-0.019998,0.118657,0.012463,-0.001710,0.023857,-0.043981,-0.998747,0.022774,0.070028,0.013579,-9.933161,-15.047467,-44.543144,,,,,,,5
1508446557.801790,0.024056,0.045338,-0.019945,0.029204,0.012538,0.006069,0.024029,-0.045322,-0.998683,0.002643,0.002750,-0.008442,-9.923801,-15.122302,-44.519882,,,,,,,5
1508446557.821798,0.024475,0.045338,-0.019892,-0.009120,0.023158,-0.000627,0.024447,-0.045322,-0.998673,-0.008731,-0.006405,0.002824,-9.905780,-15.159278,-44.511318,,,,,,,5
,,,,,,,,,,,,,,,,42.293272,-71.264176,58.601524,-1.000000,-1.000000,1508446544.262111,5
1508446557.841795,0.024931,0.045094,-0.019984,-0.011235,0.016763,-0.007038,0.024903,-0.045079,-0.998673,-0.004457,0.001271,0.000672,-9.894502,-15.154675,-44.515396,,,,,,,5
,,,,,,,,,,,,,,,,42.293272,-71.264176,58.601524,-1.000000,-1.000000,1508446535.262111,5
,,,,,,,,,,,,,,,,42.293272,-71.264176,58.601524,-1.000000,-1.000000,1508446544.262111,5
1508446557.861794,0.024960,0.045063,-0.020144,0.005813,-0.005558,-0.007979,0.024932,-0.045048,-0.998674,-0.001037,0.004978,0.007615,-9.874910,-15.146198,-44.522629,,,,,,,5
1508446557.881828,0.024890,0.045444,-0.020210,0.024959,0.000841,0.001767,0.024861,-0.045428,-0.998658,-0.004186,0.003726,0.008500,-9.877617,-15.155075,-44.519009,,,,,,,5
1508446557.901812,0.025152,0.045860,-0.020111,0.013227,0.021050,0.007009,0.025123,-0.045844,-0.998633,-0.007484,-0.004022,-0.001688,-9.875196,-15.176138,-44.512367,,,,,,,5
1508446557.921848,0.025609,0.045745,-0.019960,-0.016585,0.020003,0.006762,0.025579,-0.045729,-0.998626,0.001978,-0.002885,-0.012482,-9.853292,-15.180089,-44.515873,,,,,,,5
1508446557.941857,0.025934,0.045300,-0.019819,-0.019778,0.016818,0.006733,0.025904,-0.045284,-0.998638,0.001669,0.003078,-0.005833,-9.842324,-15.164987,-44.523449,,,,,,,5
1508446557.961867,0.026112,0.044963,-0.019606,0.012153,0.022137,0.010231,0.026083,-0.044948,-0.998649,-0.006139,0.008083,0.004279,-9.839368,-15.135768,-44.534046,,,,,,,5
1508446557.981878,0.025098,0.045016,-0.019249,0.032364,0.031709,0.017858,0.025070,-0.045001,-0.998672,-0.030898,0.004901,0.005066,-9.837324,-15.137302,-44.533974,,,,,,,5
,,,,,,,,,,,,,,,,42.293396,-71.264466,58.601524,-1.000000,-1.000000,1508446557.959407,5
1508446558.001863,0.024043,0.045421,-0.018759,0.024883,0.066782,0.023147,0.024016,-0.045405,-0.998680,-0.028289,0.003352,0.012520,-9.904865,-15.148553,-44.515171,,,,,,,5
1508446558.021897,0.025663,0.045804,-0.018209,0.016341,0.090184,0.030547,0.025633,-0.045788,-0.998622,-0.022658,0.002865,0.013255,-9.904576,-15.155123,-44.513000,,,,,,,5
,,,,,,,,,,,,,,,,42.293497,-71.264701,58.601524,-1.000000,-1.000000,1508446557.969892,5
1508446558.041908,0.027725,0.046051,-0.017569,0.014203,0.102938,0.031604,0.027693,-0.046035,-0.998556,0.003283,0.000411,0.006002,-9.853512,-15.157698,-44.523453,,,,,,,5
1508446558.061911,0.031315,0.046124,-0.017116,0.004632,0.107167,0.023010,0.031277,-0.046108,-0.998447,0.017918,0.002925,-0.000684,-9.680847,-15.165468,-44.558670,,,,,,,5
1508446558.081926,0.033419,0.046124,-0.016662,0.011036,0.067867,0.025163,0.033378,-0.046107,-0.998379,0.011789,0.004665,-0.002552,-9.592072,-15.161182,-44.579323,,,,,,,5
1508446558.101937,0.034605,0.046355,-0.016067,0.031264,0.039226,0.035996,0.034561,-0.046338,-0.998328,0.002656,0.004697,-0.003412,-9.525282,-15.152987,-44.596432,,,,,,,5
1508446558.121949,0.035318,0.047067,-0.015205,0.040822,0.046699,0.047793,0.035272,-0.047050,-0.998270,-0.002359,0.000312,-0.003210,-9.489390,-15.168561,-44.598789,,,,,,,5
1508446558.141956,0.036440,0.047728,-0.014284,0.017396,0.065818,0.043355,0.036391,-0.047709,-0.998198,-0.001753,-0.002217,0.003584,-9.462171,-15.193109,-44.596214,,,,,,,5
1508446558.161967,0.038055,0.047958,-0.013657,0.004651,0.071070,0.024089,0.038002,-0.047939,-0.998127,0.004478,0.001370,0.006199,-9.426571,-15.205685,-44.599468,,,,,,,5
1508446558.181977,0.039739,0.047873,-0.013325,0.008931,0.057229,0.015595,0.039683,-0.047855,-0.998066,0.008794,0.004794,0.005588,-9.329846,-15.200825,-44.621460,,,,,,,5
1508446558.201985,0.040985,0.048069,-0.012938,0.016376,0.038138,0.025225,0.040926,-0.048051,-0.998006,0.012190,0.004151,0.002584,-9.286371,-15.201090,-44.630436,,,,,,,5
