timestamp(unix),attitude_roll(radians),attitude_pitch(radians),attitude_yaw(radians),rotation_rate_x(radians/s),rotation_rate_y(radians/s),rotation_rate_z(radians/s),gravity_x(G),gravity_y(G),gravity_z(G),user_acc_x(G),user_acc_y(G),user_acc_z(G),magnetic_field_x(microteslas),magnetic_field_y(microteslas),magnetic_field_z(microteslas),latitude(degree),longitude(degree),altitude(meter),speed(m/s),course(degree),timestamp(unix),User Mark
1508446914.329187,0.864349,1.494143,2.537933,0.338078,-3.155955,-0.716399,0.058251,-0.997064,-0.049709,0.429741,-0.198676,0.061321,5.740452,-25.730221,-3.180277,,,,,,,5
1508446914.349197,0.933809,1.486691,2.405922,0.009607,-2.881976,-0.492113,0.067532,-0.996465,-0.049965,0.498432,-0.240336,-0.033470,5.878712,-25.669149,-3.412738,,,,,,,5
1508446914.369184,0.837236,1.479364,2.455615,-0.636981,-2.171066,0.076984,0.067821,-0.995823,-0.061130,0.353078,0.024037,-0.236096,5.875962,-25.629278,-3.704648,,,,,,,5
1508446914.389209,0.605392,1.470543,2.638142,-1.005779,-2.790923,0.480204,0.056957,-0.994979,-0.082298,0.036564,0.329589,-0.290108,5.032452,-25.645712,-6.831056,,,,,,,5
1508446914.409232,0.369249,1.457446,2.812420,-0.965064,-3.321026,0.486527,0.040822,-0.993583,-0.105485,0.001734,0.326590,-0.181030,4.521430,-25.572565,-7.435863,,,,,,,5
1508446914.429243,0.199798,1.444300,2.910164,-0.683450,-3.771134,0.317088,0.025039,-0.992010,-0.123650,-0.025863,-0.054148,0.002678,3.756775,-25.465591,-8.190344,,,,,,,5
1508446914.449257,0.067400,1.434475,2.967136,-0.471566,-3.735161,0.307152,0.009153,-0.990723,-0.135591,-0.006070,-0.181061,0.216646,2.746741,-25.358351,-8.893867,,,,,,,5
1508446914.469268,-0.044235,1.424593,3.008950,-0.555780,-3.370902,0.259883,-0.006442,-0.989331,-0.145541,-0.017514,-0.000049,0.512347,1.938322,-25.285681,-9.304226,,,,,,,5
1508446914.489252,-0.115863,1.409573,3.015961,-0.856716,-3.199592,-0.010787,-0.018557,-0.987032,-0.159450,0.034655,0.231294,0.644878,1.388774,-25.201439,-9.625498,,,,,,,5
1508446914.509292,-0.122976,1.392369,2.957555,-0.893893,-3.267678,-0.651056,-0.021771,-0.984124,-0.176141,0.179883,0.339471,0.564355,0.692893,-24.978569,-10.260720,,,,,,,5
1508446914.529296,-0.065893,1.380160,2.831311,-0.602006,-3.361522,-1.316313,-0.012477,-0.981884,-0.189072,0.277003,0.284038,0.256135,0.571361,-24.799034,-12.060465,,,,,,,5
1508446914.549299,0.005994,1.371871,2.696712,-0.378021,-2.654544,-1.131858,0.001184,-0.980280,-0.197612,0.315466,0.199533,0.107387,0.440969,-24.678911,-12.309769,,,,,,,5
1508446914.569328,0.040711,1.367722,2.621768,-0.048406,-1.535220,-0.582077,0.008208,-0.979451,-0.201515,0.448441,0.004979,-0.211708,0.274107,-24.543610,-12.582113,,,,,,,5
1508446914.589341,0.063796,1.369682,2.574021,0.210952,-1.176828,-0.432730,0.012735,-0.979845,-0.199355,0.252752,-0.043776,-0.227448,0.204469,-24.555807,-12.559619,,,,,,,5
1508446914.609350,0.079894,1.376771,2.526453,0.481708,-1.715657,-0.456456,0.015388,-0.981236,-0.192195,0.103783,-0.067562,-0.137898,0.154120,-24.585876,-12.501374,,,,,,,5
1508446914.629363,0.097066,1.385134,2.472300,0.383825,-1.777305,-0.480735,0.017890,-0.982814,-0.183729,-0.115241,-0.092595,0.154752,-0.138283,-24.754028,-12.165213,,,,,,,5
1508446914.649374,0.127571,1.387690,2.409249,0.081543,-1.445179,-0.636303,0.023166,-0.983283,-0.180605,-0.222461,-0.019998,0.273180,-0.280789,-24.820845,-12.025816,,,,,,,5
1508446914.669386,0.186790,1.383960,2.320282,-0.121238,-1.474898,-0.962746,0.034495,-0.982597,-0.182520,-0.253993,0.037895,0.289103,-0.283917,-24.828676,-12.009565,,,,,,,5
1508446914.689378,0.270250,1.375292,2.203442,-0.190954,-1.517363,-1.268935,0.051862,-0.980950,-0.187211,-0.015272,-0.029258,0.072983,-0.070885,-24.790186,-12.091944,,,,,,,5
1508446914.709410,0.344877,1.363559,2.100799,-0.277811,-1.152078,-1.023420,0.069562,-0.978603,-0.193641,0.013232,-0.070042,0.011848,0.131221,-24.750811,-12.171840,,,,,,,5
1508446914.729413,0.381654,1.353353,2.042407,-0.214733,-1.000859,-0.605405,0.080352,-0.976452,-0.200212,0.055375,-0.060779,-0.082197,0.297880,-24.696930,-12.277883,,,,,,,5
1508446914.749436,0.390695,1.349135,2.008180,0.057577,-1.396325,-0.340464,0.083726,-0.975534,-0.203284,0.011108,0.084420,-0.111551,0.325970,-24.627939,-12.414987,,,,,,,5
1508446914.769446,0.383421,1.351456,1.979818,0.312081,-1.946256,-0.200363,0.081398,-0.976041,-0.201787,-0.042106,0.128110,-0.072810,0.064602,-24.666666,-12.341996,,,,,,,5
1508446914.789442,0.368628,1.357355,1.950610,0.413370,-2.250108,-0.192303,0.076328,-0.977308,-0.197595,-0.055698,0.117734,-0.044440,-0.134233,-24.707750,-12.258975,,,,,,,5
1508446914.809467,0.358139,1.362879,1.916595,0.346325,-2.093072,-0.256622,0.072358,-0.978463,-0.193325,-0.093781,0.074975,0.057964,-0.784153,-24.855564,-11.931452,,,,,,,5
1508446914.829481,0.350209,1.365063,1.886673,0.110781,-1.717850,-0.229535,0.070089,-0.978911,-0.191885,-0.110632,0.029250,0.046622,-1.119347,-24.923946,-11.760842,,,,,,,5
1508446914.849491,0.338390,1.363542,1.869337,-0.060962,-1.262898,-0.177371,0.068310,-0.978600,-0.194104,-0.112988,0.035622,0.071591,-1.323162,-24.937283,-11.711301,,,,,,,5
1508446914.869505,0.331537,1.360217,1.855207,-0.147304,-0.936848,-0.215103,0.068037,-0.977910,-0.197643,-0.089583,0.072667,0.022182,-1.550810,-24.921398,-11.717182,,,,,,,5
1508446914.889512,0.329006,1.352975,1.839848,-0.396350,-0.844595,-0.301204,0.069823,-0.976371,-0.204512,-0.045867,0.013816,-0.079255,-1.621998,-24.892515,-11.768831,,,,,,,5
1508446914.909500,0.325017,1.340798,1.828768,-0.578510,-0.663906,-0.302571,0.072798,-0.973667,-0.216040,-0.018813,-0.001797,-0.095361,-1.659720,-24.829645,-11.895693,,,,,,,5
1508446914.929541,0.319672,1.331234,1.820032,-0.261319,-0.800770,-0.204229,0.074566,-0.971442,-0.225257,0.084004,0.077994,-0.044961,-1.694827,-24.656851,-12.245030,,,,,,,5
1508446914.949540,0.305152,1.332885,1.808933,0.355249,-1.579166,-0.027240,0.070805,-0.971832,-0.224785,0.146556,0.036347,-0.086845,-1.885881,-24.653379,-12.224067,,,,,,,5
1508446914.969563,0.269855,1.346216,1.804091,0.775658,-2.181858,0.239831,0.059369,-0.974888,-0.214638,0.173648,0.024845,-0.096626,-2.090791,-24.705427,-12.084861,,,,,,,5
1508446914.989577,0.203940,1.363302,1.825770,0.744264,-2.200971,0.540880,0.041723,-0.978550,-0.201740,0.173167,0.056492,-0.055081,-3.059314,-24.946075,-11.362544,,,,,,,5
1508446915.009587,0.101874,1.379527,1.888038,0.717014,-1.952419,0.830454,0.019333,-0.981764,-0.189120,0.035446,0.073393,-0.030424,-3.651846,-25.035501,-10.984590,,,,,,,5
1508446915.029571,-0.024301,1.396258,1.980608,0.842438,-1.632611,0.862608,-0.004220,-0.984807,-0.173603,-0.018989,0.081288,-0.032086,-4.277624,-25.103365,-10.597004,,,,,,,5
1508446915.049610,-0.153878,1.411625,2.084807,0.826404,-1.142169,0.758502,-0.024294,-0.987359,-0.156627,-0.229262,0.073861,-0.118428,-5.389332,-25.235495,-9.741579,,,,,,,5
1508446915.069623,-0.283993,1.421688,2.201203,0.571611,-0.465368,0.747328,-0.041624,-0.988904,-0.142606,-0.385149,0.110852,-0.323810,-5.951630,-25.290842,-9.258776,,,,,,,5
1508446915.089612,-0.371825,1.426236,2.293261,0.401333,0.527907,0.416603,-0.052338,-0.989569,-0.134214,-0.431182,0.165518,-0.469485,-6.243711,-25.296270,-9.049215,,,,,,,5
1508446915.109646,-0.427906,1.433966,2.363667,0.715618,0.670644,0.270241,-0.056603,-0.990653,-0.124105,-0.375465,0.137199,-0.105814,-6.352179,-25.338928,-8.852228,,,,,,,5
1508446915.129658,-0.530266,1.453706,2.476987,1.517808,0.345660,0.113711,-0.059085,-0.993153,-0.100780,-0.331952,0.107273,0.095653,-6.363088,-25.433855,-8.567591,,,,,,,5
1508446915.149671,-0.756584,1.483840,2.701589,1.975243,-0.445482,-0.036435,-0.059615,-0.996222,-0.063154,-0.020356,-0.198587,0.181409,-6.371682,-25.684069,-7.778414,,,,,,,5
1508446915.169683,-1.049593,1.503853,2.982871,0.954359,-0.567404,-0.120551,-0.058011,-0.997760,-0.033308,0.297773,-0.176739,0.062345,-6.419173,-26.012146,-6.552558,,,,,,,5
1508446915.189694,-1.100470,1.503726,3.031162,-0.172013,-0.012018,0.254945,-0.059743,-0.997752,-0.030372,0.502111,-0.086660,0.063041,-6.448380,-26.067703,-6.298153,,,,,,,5
1508446915.209704,-1.161739,1.496026,3.079444,0.227517,-1.245924,0.464935,-0.068537,-0.997206,-0.029712,0.640788,0.110335,-0.041410,-6.600198,-26.019436,-6.340334,,,,,,,5
1508446915.229719,-1.451771,1.490235,-2.957476,1.215952,-2.663027,0.580805,-0.079905,-0.996757,-0.009556,0.604380,0.256400,0.143971,-7.167783,-26.008804,-5.739200,,,,,,,5
1508446915.249711,-1.885100,1.474592,-2.577099,2.017740,-2.642293,0.555496,-0.091351,-0.995376,0.029696,0.345394,0.169158,0.324018,-7.622565,-26.055437,-4.876895,,,,,,,5
1508446915.269714,-2.254735,1.444857,-2.249014,2.363786,-1.777547,0.306662,-0.097356,-0.992080,0.079365,0.248678,0.098098,0.368771,-8.011002,-26.120693,-3.782421,,,,,,,5
