timestamp(unix),attitude_roll(radians),attitude_pitch(radians),attitude_yaw(radians),rotation_rate_x(radians/s),rotation_rate_y(radians/s),rotation_rate_z(radians/s),gravity_x(G),gravity_y(G),gravity_z(G),user_acc_x(G),user_acc_y(G),user_acc_z(G),magnetic_field_x(microteslas),magnetic_field_y(microteslas),magnetic_field_z(microteslas),latitude(degree),longitude(degree),altitude(meter),speed(m/s),course(degree),timestamp(unix),User Mark
1508447000.711134,-0.136799,1.406887,-0.906268,0.065446,0.127095,0.071664,-0.022253,-0.986597,-0.161652,0.012762,-0.000265,-0.007583,-0.849971,-35.096340,6.571338,,,,,,,5
,,,,,,,,,,,,,,,,42.293334,-71.264222,60.291946,-1.000000,-1.000000,1508446998.569847,5
,,,,,,,,,,,,,,,,42.293332,-71.264203,60.291946,-1.000000,-1.000000,1508446985.631317,5
1508447000.731131,-0.143251,1.407387,-0.900067,0.030539,-0.171653,0.019009,-0.023225,-0.986678,-0.161017,0.030778,0.030944,-0.051202,-0.881441,-35.092457,6.587908,,,,,,,5
,,,,,,,,,,,,,,,,42.293334,-71.264222,60.291946,-1.000000,-1.000000,1508446998.569847,5
1508447000.751157,-0.147954,1.407955,-0.901282,0.006222,-0.368317,-0.022866,-0.023899,-0.986771,-0.160351,-0.030468,0.018539,-0.049548,-0.858769,-35.088989,6.609335,,,,,,,5
1508447000.771170,-0.143778,1.403330,-0.915251,0.037371,-0.410286,-0.171701,-0.023883,-0.986010,-0.164965,-0.090573,-0.002851,0.073565,-0.754858,-35.121975,6.444769,,,,,,,5
1508447000.791182,-0.152301,1.405811,-0.910751,0.133686,-0.131130,0.078455,-0.024917,-0.986421,-0.162336,-0.046769,0.026933,0.068007,-0.688431,-35.109112,6.521828,,,,,,,5
1508447000.811183,-0.159234,1.406499,-0.905921,-0.014162,-0.102701,-0.016441,-0.025934,-0.986534,-0.161490,-0.009771,0.031684,0.015677,-0.708742,-35.100819,6.564159,,,,,,,5
,,,,,,,,,,,,,,,,42.293324,-71.264230,60.291946,-1.000000,-1.000000,1508447000.790801,5
1508447000.831201,-0.150678,1.405897,-0.914235,-0.047156,0.090441,-0.079388,-0.024641,-0.986435,-0.162293,0.075117,0.029205,0.005814,-0.676715,-35.103062,6.555531,,,,,,,5
,,,,,,,,,,,,,,,,42.293313,-71.264225,60.291946,-1.000000,-1.000000,1508447000.819637,5
,,,,,,,,,,,,,,,,42.293302,-71.264221,60.291946,-1.000000,-1.000000,1508447000.828954,5
1508447000.851217,-0.140732,1.405516,-0.922590,-0.012044,0.032104,-0.048264,-0.023078,-0.986372,-0.162902,0.036277,0.015044,-0.031373,-0.646746,-35.107971,6.532238,,,,,,,5
1508447000.871204,-0.138664,1.406126,-0.925780,0.049739,-0.088970,-0.029745,-0.022658,-0.986472,-0.162353,0.006652,0.029762,-0.000961,-0.624316,-35.109509,6.526142,,,,,,,5
,,,,,,,,,,,,,,,,42.293291,-71.264216,60.291946,-1.000000,-1.000000,1508447000.844471,5
1508447000.891226,-0.137280,1.407895,-0.929604,0.101929,-0.127386,-0.048477,-0.022194,-0.986761,-0.160656,0.035256,0.043829,0.044140,-0.569669,-35.099155,6.586544,,,,,,,5
1508447000.911254,-0.137429,1.410935,-0.931928,0.181743,-0.115669,-0.027579,-0.021807,-0.987249,-0.157680,0.029269,0.051840,0.040279,-0.521826,-35.082657,6.677781,,,,,,,5
1508447000.931262,-0.143412,1.415863,-0.928153,0.289230,-0.118805,0.003118,-0.022055,-0.988022,-0.152730,-0.006037,0.043869,-0.020487,-0.501554,-35.061886,6.787539,,,,,,,5
1508447000.951279,-0.152252,1.422185,-0.922266,0.326552,-0.175183,-0.012587,-0.022456,-0.988978,-0.146353,-0.004598,0.014048,-0.094736,-0.479637,-35.009861,7.052496,,,,,,,5
1508447000.971289,-0.156393,1.428469,-0.922441,0.295824,-0.239143,-0.079968,-0.022094,-0.989888,-0.140116,0.015761,0.000707,-0.128698,-0.446329,-34.975582,7.222710,,,,,,,5
1508447000.991290,-0.149593,1.434348,-0.935087,0.274696,-0.317998,-0.152605,-0.020273,-0.990705,-0.134506,0.127359,0.006575,-0.225953,-0.345319,-34.933685,7.428071,,,,,,,5
1508447001.011315,-0.145761,1.440853,-0.946916,0.343865,-0.442124,-0.094632,-0.018821,-0.991569,-0.128204,0.077262,0.048546,-0.259324,-0.156660,-34.880020,7.682293,,,,,,,5
1508447001.031302,-0.158474,1.449064,-0.944254,0.439615,-0.527982,-0.025763,-0.019163,-0.992600,-0.119910,-0.005312,0.088333,-0.228692,-0.063944,-34.836811,7.877203,,,,,,,5
,,,,,,,,,,,,,,,,42.293270,-71.264181,60.790226,-1.000000,-1.000000,1508447001.024090,5
1508447001.051337,-0.174477,1.458489,-0.938297,0.484379,-0.475033,-0.066878,-0.019455,-0.993700,-0.110370,-0.067246,0.109087,-0.174008,0.041077,-34.765137,8.187882,,,,,,,5
1508447001.071351,-0.179502,1.469291,-0.941282,0.567479,-0.338272,-0.134232,-0.018092,-0.994853,-0.099703,-0.098379,0.109233,-0.090742,0.208364,-34.659447,8.621912,,,,,,,5
1508447001.091360,-0.176216,1.482795,-0.948160,0.714321,-0.083459,-0.154122,-0.015407,-0.996130,-0.086526,-0.117436,0.078330,-0.037146,0.352489,-34.548683,9.051086,,,,,,,5
1508447001.111373,-0.170226,1.498972,-0.953377,0.833519,0.087450,-0.172175,-0.012157,-0.997422,-0.070725,-0.116704,0.058152,-0.049804,0.410243,-34.480907,9.303590,,,,,,,5
1508447001.131387,-0.146445,1.517045,-0.976161,0.901819,-0.002043,-0.235563,-0.007840,-0.998556,-0.053150,-0.054340,0.001867,-0.074292,0.580825,-34.232536,10.171229,,,,,,,5
1508447001.151396,-0.073044,1.535880,-1.052327,0.927562,-0.203016,-0.286610,-0.002548,-0.999390,-0.034817,0.033599,0.014878,-0.085896,0.718488,-34.088470,10.635694,,,,,,,5
1508447001.171391,0.189318,1.554901,-1.319251,0.983966,-0.211479,-0.268050,0.002991,-0.999874,-0.015610,0.076599,0.025722,-0.109771,0.896335,-33.933643,11.106873,,,,,,,5
1508447001.191424,2.118571,1.562510,3.030978,0.992274,-0.190900,-0.154039,0.007074,-0.999966,0.004316,0.072180,0.033657,-0.189054,1.220657,-33.583294,12.096700,,,,,,,5
1508447001.211416,2.815467,1.546399,2.327171,0.906869,-0.463150,0.052676,0.007815,-0.999702,0.023109,0.011899,0.071510,-0.121009,1.344943,-33.341831,12.734653,,,,,,,5
1508447001.231445,3.031834,1.530893,2.100789,0.771268,-0.415627,0.254959,0.004370,-0.999204,0.039653,0.008493,0.107755,-0.060954,1.381160,-33.227749,13.025638,,,,,,,5
1508447001.251458,-3.132110,1.520135,1.980113,0.378147,0.150460,0.192567,-0.000480,-0.998717,0.050637,0.002220,0.155669,-0.132302,1.269177,-32.952343,13.718245,,,,,,,5
1508447001.271470,-3.119456,1.517189,1.972933,0.078311,0.239980,-0.074962,-0.001186,-0.998563,0.053569,-0.038365,0.037473,-0.235454,1.159294,-32.899929,13.853112,,,,,,,5
1508447001.291461,3.103642,1.513075,2.035109,0.313981,0.034310,-0.222236,0.002189,-0.998335,0.057648,-0.056831,-0.020479,-0.019211,1.163482,-32.867268,13.930074,,,,,,,5
1508447001.311487,3.027604,1.503350,2.110874,0.541984,-0.036149,-0.286422,0.007666,-0.997726,0.066958,-0.048574,0.051315,0.254270,1.359715,-32.727520,14.237934,,,,,,,5
1508447001.331507,2.987950,1.489468,2.152115,0.765324,0.165889,-0.197116,0.012433,-0.996695,0.080282,-0.053906,0.073263,0.317652,1.527178,-32.543251,14.637711,,,,,,,5
1508447001.351519,3.006769,1.469350,2.137703,1.172774,0.213065,-0.011646,0.013613,-0.994859,0.100353,-0.076616,0.060777,0.339069,1.554416,-32.349991,15.057215,,,,,,,5
1508447001.371515,3.048398,1.439936,2.097796,1.657133,0.019859,0.100810,0.012143,-0.991450,0.129921,-0.105237,-0.028951,0.186897,1.477193,-31.842596,16.109777,,,,,,,5
1508447001.391543,3.080929,1.404891,2.063142,1.763669,-0.123591,0.106905,0.010012,-0.986269,0.164841,-0.044634,-0.131605,0.068527,1.419232,-31.266335,17.206394,,,,,,,5
1508447001.411554,3.088512,1.373353,2.057424,1.427448,0.279393,-0.144716,0.010407,-0.980571,0.195887,0.016295,-0.087056,0.084203,1.407504,-30.818060,17.997898,,,,,,,5
1508447001.431567,3.082705,1.349786,2.073890,1.045221,0.638269,-0.257268,0.012902,-0.975676,0.218836,-0.041115,0.081572,0.097296,1.373424,-30.202045,19.015997,,,,,,,5
