timestamp(unix),attitude_roll(radians),attitude_pitch(radians),attitude_yaw(radians),rotation_rate_x(radians/s),rotation_rate_y(radians/s),rotation_rate_z(radians/s),gravity_x(G),gravity_y(G),gravity_z(G),user_acc_x(G),user_acc_y(G),user_acc_z(G),magnetic_field_x(microteslas),magnetic_field_y(microteslas),magnetic_field_z(microteslas),latitude(degree),longitude(degree),altitude(meter),speed(m/s),course(degree),timestamp(unix),User Mark
1508446847.756126,0.020146,1.358454,-0.324624,0.033708,-0.053012,-0.037553,0.004245,-0.977540,-0.210708,-0.022647,0.001008,0.033706,1.363373,-44.212143,5.934073,,,,,,,5
,,,,,,,,,,,,,,,,42.293399,-71.264129,59.940109,-1.000000,-1.000000,1508446803.552044,5
1508446847.776136,0.016753,1.358669,-0.321157,0.028292,0.059655,-0.020451,0.003527,-0.977585,-0.210510,-0.022372,0.007325,-0.004135,1.338067,-44.211662,5.943423,,,,,,,5
,,,,,,,,,,,,,,,,42.293399,-71.264129,59.940109,-1.000000,-1.000000,1508446794.552044,5
,,,,,,,,,,,,,,,,42.293399,-71.264129,59.940109,-1.000000,-1.000000,1508446803.552044,5
1508446847.796147,0.018801,1.359676,-0.321193,0.060155,0.124535,0.006480,0.003940,-0.977797,-0.209518,-0.019641,0.029722,-0.023209,1.337719,-44.208084,5.970059,,,,,,,5
1508446847.816159,0.019001,1.359917,-0.319669,-0.021829,0.050287,0.027042,0.003977,-0.977847,-0.209282,-0.022028,0.037128,-0.021827,1.311361,-44.202866,6.014372,,,,,,,5
1508446847.836169,0.015826,1.359640,-0.316985,0.006982,-0.072962,0.026122,0.003317,-0.977789,-0.209565,-0.005667,0.035223,-0.022262,1.290755,-44.205643,5.998400,,,,,,,5
1508446847.856164,0.014250,1.359315,-0.317281,0.051701,-0.101668,0.025394,0.002991,-0.977721,-0.209888,0.009780,0.022429,-0.014951,1.301559,-44.210697,5.958690,,,,,,,5
1508446847.876190,0.007151,1.360077,-0.312365,0.034594,-0.117434,0.071025,0.001496,-0.977881,-0.209158,-0.001694,0.020804,0.021277,1.276702,-44.205406,6.003127,,,,,,,5
1508446847.896202,0.001375,1.365425,-0.309051,0.120861,-0.159869,0.100431,0.000280,-0.978985,-0.203930,0.019938,0.027371,0.066967,1.232855,-44.202564,6.033159,,,,,,,5
1508446847.916186,-0.011843,1.368643,-0.299374,0.172002,-0.190739,0.090182,-0.002378,-0.979637,-0.200765,0.035077,0.021263,0.074239,1.214911,-44.164703,6.307836,,,,,,,5
1508446847.936218,-0.024977,1.371828,-0.289090,0.149566,-0.123715,0.114537,-0.004936,-0.980271,-0.197596,0.058495,0.005158,-0.035695,1.139811,-44.140678,6.487456,,,,,,,5
1508446847.956234,-0.028532,1.371292,-0.286177,0.143048,-0.013167,0.130496,-0.005654,-0.980165,-0.198103,0.043450,-0.022811,-0.070589,1.065707,-44.128704,6.580843,,,,,,,5
1508446847.976245,-0.035733,1.374009,-0.277983,0.129324,0.068323,0.039941,-0.006985,-0.980700,-0.195395,0.122769,-0.062147,-0.126153,1.050904,-44.132248,6.559436,,,,,,,5
