timestamp(unix),attitude_roll(radians),attitude_pitch(radians),attitude_yaw(radians),rotation_rate_x(radians/s),rotation_rate_y(radians/s),rotation_rate_z(radians/s),gravity_x(G),gravity_y(G),gravity_z(G),user_acc_x(G),user_acc_y(G),user_acc_z(G),magnetic_field_x(microteslas),magnetic_field_y(microteslas),magnetic_field_z(microteslas),latitude(degree),longitude(degree),altitude(meter),speed(m/s),course(degree),timestamp(unix),User Mark
1508446696.405880,0.127626,0.035503,0.059659,0.085358,-0.051095,-0.010854,0.127200,-0.035496,-0.991242,-0.004336,0.045185,-0.010986,-1.366811,-13.859091,-43.993526,,,,,,,5
1508446696.425890,0.125904,0.036697,0.059820,0.029958,-0.097694,0.021660,0.125487,-0.036689,-0.991417,0.015809,-0.012323,-0.024514,-1.411322,-13.910913,-43.975765,,,,,,,5
1508446696.445901,0.124683,0.036462,0.060103,-0.030737,-0.035038,0.006300,0.124277,-0.036453,-0.991578,0.018972,-0.028290,0.010270,-1.477592,-13.930227,-43.967472,,,,,,,5
,,,,,,,,,,,,,,,,42.293326,-71.264170,59.963139,-1.000000,-1.000000,1508446696.397815,5
,,,,,,,,,,,,,,,,42.293326,-71.264170,59.963139,-1.000000,-1.000000,1508446691.213906,5
1508446696.465914,0.124579,0.035764,0.060344,-0.029701,0.007470,0.010600,0.124178,-0.035757,-0.991616,0.001295,-0.000163,0.034615,-1.518468,-13.908059,-43.973095,,,,,,,5
,,,,,,,,,,,,,,,,42.293326,-71.264170,59.963139,-1.000000,-1.000000,1508446696.409972,5
,,,,,,,,,,,,,,,,42.293326,-71.264170,59.963139,-1.000000,-1.000000,1508446696.426991,5
1508446696.485924,0.124807,0.035896,0.060692,0.030970,0.011723,0.020687,0.124403,-0.035888,-0.991583,-0.018491,0.031280,0.026998,-1.515738,-13.881161,-43.981693,,,,,,,5
1508446696.505917,0.125048,0.037091,0.060920,0.059725,0.018061,0.014541,0.124637,-0.037083,-0.991509,-0.020206,0.013462,0.013467,-1.515738,-13.881161,-43.981693,,,,,,,5
1508446696.525920,0.125543,0.037649,0.060902,0.001195,0.025460,-0.005102,0.125125,-0.037640,-0.991427,0.001966,-0.018848,-0.013670,-1.493795,-13.962224,-43.956776,,,,,,,5
1508446696.545957,0.125940,0.036903,0.060791,-0.052023,0.014837,-0.013003,0.125521,-0.036894,-0.991405,0.012769,-0.013475,-0.013707,-1.471905,-13.942219,-43.963863,,,,,,,5
1508446696.565953,0.126416,0.035350,0.060632,-0.030721,-0.005356,-0.012843,0.126001,-0.035343,-0.991400,0.010627,0.016071,0.000754,-1.464968,-13.919529,-43.971283,,,,,,,5
1508446696.585978,0.126141,0.035411,0.060409,0.026777,-0.020246,-0.009185,0.125728,-0.035403,-0.991433,-0.003810,0.008304,0.007043,-1.447797,-13.862760,-43.989784,,,,,,,5
1508446696.605990,0.125615,0.036298,0.060175,0.038480,-0.013867,-0.005889,0.125203,-0.036290,-0.991467,-0.004109,-0.002345,0.003674,-1.463926,-13.895684,-43.978859,,,,,,,5
1508446696.625979,0.125598,0.036710,0.060061,0.005453,0.008477,-0.000821,0.125183,-0.036702,-0.991455,0.003128,-0.006343,0.003219,-1.475883,-13.922836,-43.969872,,,,,,,5
1508446696.646006,0.126151,0.036544,0.060054,-0.016909,0.019109,-0.002063,0.125733,-0.036536,-0.991391,0.003708,-0.001657,0.006665,-1.461358,-13.920925,-43.970963,,,,,,,5
1508446696.666022,0.126385,0.036314,0.060016,0.002268,-0.002150,-0.002985,0.125965,-0.036306,-0.991370,0.001354,0.002981,0.010321,-1.443189,-13.915583,-43.973251,,,,,,,5
1508446696.686033,0.126074,0.036498,0.059961,0.023567,-0.023396,0.000369,0.125656,-0.036490,-0.991403,-0.001099,0.001029,0.003793,-1.440604,-13.910262,-43.975021,,,,,,,5
